City Name,Lat,Long ,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Port Elizabeth,-33.92,25.57,46.4,75,0,2.24,ZA,1599103119
Nara,34.69,135.8,89.6,59,75,5.82,JP,1599103198
Mataura,-46.19,168.86,57.67,46,67,2.51,NZ,1599102833
Punta Arenas,-53.15,-70.92,35.6,93,27,10.29,CL,1599103112
Ponta Delgada,37.73,-25.67,73.4,73,75,6.93,PT,1599103108
Saint-Joseph,-21.37,55.62,66.99,77,40,6.93,RE,1599103273
Chokurdakh,70.63,147.92,42.64,64,67,10.56,RU,1599102834
Pochutla,15.74,-96.47,80.01,81,12,3.53,MX,1599103273
Taiyuan,37.87,112.56,69.8,35,0,4.47,CN,1599103273
Manggar,-2.88,108.27,78.94,89,100,17.67,ID,1599102986
São Miguel do Araguaia,-13.28,-50.16,73.58,38,1,5.14,BR,1599103274
Port Macquarie,-31.43,152.92,86.0,41,0,13.42,AU,1599103274
Kamenka,51.32,42.77,55.0,78,0,11.54,RU,1599103225
Fort Nelson,58.81,-122.7,55.4,71,75,3.36,CA,1599103274
Atuona,-9.8,-139.03,78.98,77,6,22.46,PF,1599103160
Saint Paul Harbor,57.79,-152.41,55.4,71,90,4.7,US,1599103124
Amboasary,-25.03,46.38,64.4,68,75,11.41,MG,1599103275
North Bend,43.41,-124.22,62.01,93,90,5.82,US,1599103275
Agadez,19.75,10.25,90.7,33,38,11.12,NE,1599103275
Bilma,18.69,12.92,88.68,40,5,4.43,NE,1599103275
Leshukonskoye,64.9,45.76,43.61,92,100,4.23,RU,1599103121
Amnat Charoen,15.86,104.63,88.0,71,87,3.89,TH,1599103276
Anadyr,64.75,177.48,51.8,53,40,8.95,RU,1599102932
Dawson Creek,55.77,-120.24,59.0,51,1,10.29,CA,1599103276
Murdochville,48.96,-65.5,56.68,81,89,20.33,CA,1599103276
Nanzhang,31.78,111.84,87.48,31,0,5.37,CN,1599103277
Nanortalik,60.14,-45.24,42.46,72,11,4.61,GL,1599102877
Mae Chan,20.15,99.85,89.01,94,20,4.7,TH,1599103277
Airai,-8.93,125.41,79.27,40,43,6.51,TL,1599103223
Esperance,-33.87,121.9,57.2,67,39,17.22,AU,1599103064
Camagüey,21.38,-77.92,73.4,100,97,3.36,CU,1599103278
Port Blair,11.67,92.75,84.52,76,100,13.02,IN,1599103151
Qasigiannguit,68.82,-51.19,37.4,86,95,3.36,GL,1599103278
Alice Springs,-23.7,133.88,82.4,18,0,8.05,AU,1599102880
Vestmannaeyjar,63.44,-20.27,50.54,86,100,7.74,IS,1599103155
New Norfolk,-42.78,147.06,62.01,52,56,3.0,AU,1599103130
Eureka,40.8,-124.16,60.01,88,66,1.01,US,1599103279
Baft,29.23,56.61,65.16,26,0,5.17,IR,1599103279
La Providencia,28.72,-111.58,87.01,77,0,5.99,MX,1599103279
Yichang,30.71,111.28,89.01,42,0,4.0,CN,1599103279
Flinders,-34.58,150.86,87.01,35,15,11.99,AU,1599103229
Cape Town,-33.93,18.42,59.0,87,75,8.05,ZA,1599102900
Vega de Alatorre,20.03,-96.63,82.09,79,0,8.3,MX,1599103280
Avera,33.19,-82.53,80.6,69,1,3.36,US,1599103200
Kizhinga,51.85,109.91,62.87,67,98,5.35,RU,1599103280
Tiksi,71.69,128.87,42.04,75,10,11.99,RU,1599102869
Teguise,29.06,-13.56,73.4,78,90,8.05,ES,1599103281
Saint-Philippe,-21.36,55.77,66.99,77,40,6.93,RE,1599103143
Luan,46.36,6.98,53.6,76,66,3.8,CH,1599103281
Palmer,42.16,-72.33,72.0,100,90,6.93,US,1599103281
Arroyo de la Encomienda,41.61,-4.8,55.99,71,0,5.82,ES,1599103281
Luoyang,34.68,112.45,86.95,24,0,9.48,CN,1599103282
Port Keats,-14.25,129.55,88.66,53,67,7.38,AU,1599103282
Arraial do Cabo,-22.97,-42.03,70.5,89,0,15.64,BR,1599103111
Beaverlodge,55.22,-119.44,57.2,54,90,11.41,CA,1599103282
Zhigansk,66.77,123.37,49.35,88,100,21.85,RU,1599103224
Kaseda-shirakame,31.42,130.32,80.6,78,75,8.05,JP,1599103283
Alpena,45.06,-83.43,62.6,67,1,3.36,US,1599103283
Jamestown,42.1,-79.24,66.0,100,20,6.93,US,1599103114
Pascagoula,30.37,-88.56,82.4,83,1,3.36,US,1599103212
Isabela,6.71,121.97,87.8,70,75,5.82,PH,1599103283
Prieska,-29.66,22.75,44.55,49,0,2.68,ZA,1599103284
Porto-Novo,6.5,2.6,77.0,94,90,11.41,BJ,1599103123
Geraldton,-28.77,114.6,66.2,63,99,5.82,AU,1599103219
Jalu,29.03,21.55,79.77,23,0,7.94,LY,1599103213
Faanui,-16.48,-151.75,77.9,79,44,19.37,PF,1599103130
Bairiki Village,1.33,172.98,83.16,73,98,12.55,KI,1599103285
Ixtlahuacán del Río,20.87,-103.25,72.0,81,3,7.0,MX,1599103285
Mtama,-10.3,39.37,67.78,89,99,1.45,TZ,1599103285
Raudeberg,61.99,5.14,63.0,54,95,24.79,NO,1599103285
Bagumbong,6.9,124.52,91.67,57,100,1.57,PH,1599103286
Nome,64.5,-165.41,50.0,66,75,21.92,US,1599103109
Longyearbyen,78.22,15.64,39.2,93,75,8.05,SJ,1599103182
Qaanaaq,77.48,-69.36,24.13,76,0,6.67,GL,1599103108
Ostrovnoy,68.05,39.51,49.71,77,100,16.84,RU,1599103150
Kuytun,54.34,101.5,54.45,89,99,6.04,RU,1599103286
Azanka,58.04,64.79,45.73,80,0,10.76,RU,1599103287
Escalerillas,22.13,-101.07,73.4,56,20,10.29,MX,1599103154
Santa Luzia,-19.77,-43.85,66.2,55,0,3.36,BR,1599103287
Kefamenanu,-9.45,124.48,89.1,36,1,13.2,ID,1599103287
Bunia,1.57,30.25,61.02,94,2,2.66,CD,1599103287
Prince Rupert,54.32,-130.32,53.6,100,90,4.7,CA,1599103208
Kumul,42.8,93.45,86.59,12,7,10.98,CN,1599103214
Norman Wells,65.28,-126.83,50.0,93,75,5.82,CA,1599103154
Codrington,-38.27,141.97,54.63,79,98,24.94,AU,1599103288
Bozova,37.36,38.53,75.2,31,2,10.29,TR,1599103258
San Cristobal,7.77,-72.22,66.33,92,100,3.89,VE,1599103165
Chui,-33.7,-53.46,57.36,90,98,16.06,UY,1599103152
San Felipe,10.34,-68.74,72.73,84,100,5.01,VE,1599103289
Vodyane,47.49,34.49,69.01,62,44,5.5,UA,1599103290
Saint-Louis,16.33,-15.0,78.8,94,28,6.2,SN,1599103290
Nouadhibou,20.93,-17.03,77.0,65,9,11.41,MR,1599103290
Hūn,29.13,15.95,78.4,34,0,11.07,LY,1599103291
Deputatsky,69.3,139.9,42.57,64,53,14.18,RU,1599102887
Saýat,38.78,63.88,66.2,37,0,4.7,TM,1599103291
Shubarkuduk,49.14,56.49,65.19,65,0,18.03,KZ,1599103291
Vila Franca do Campo,37.72,-25.43,71.6,78,75,3.36,PT,1599103136
General Roca,-39.03,-67.58,50.0,57,1,4.7,AR,1599103292
Port Lincoln,-34.73,135.87,59.45,55,54,20.74,AU,1599103158
Nang Rong,14.64,102.79,87.01,83,20,5.82,TH,1599103292
Ahipara,-35.17,173.17,56.14,64,46,17.27,NZ,1599103142
Pacific Grove,36.62,-121.92,62.01,89,0,1.01,US,1599103024
Cabo San Lucas,22.89,-109.91,81.0,83,20,10.29,MX,1599103183
São Borja,-28.66,-56.0,52.88,87,67,8.37,BR,1599103293
Bodden Town,19.28,-81.25,84.0,85,4,7.0,KY,1599103294
Vale da Amoreira,39.07,-7.7,66.0,66,0,3.11,PT,1599103294
Kongolo,-5.38,27.0,72.45,60,5,1.92,CD,1599103294
Portland,45.52,-122.68,82.4,48,1,8.05,US,1599103219
Llanes,43.42,-4.75,57.99,98,20,1.01,ES,1599103295
Avarua,-21.21,-159.78,78.8,78,0,14.99,CK,1599103131
Kaitangata,-46.28,169.85,59.0,43,38,5.99,NZ,1599103116
Saldanha,-33.01,17.94,55.4,93,5,8.05,ZA,1599103296
Sladkovo,55.53,70.34,48.51,80,100,18.72,RU,1599103296
Gmina Opole Lubelskie,51.15,21.97,54.0,10,0,6.13,PL,1599103296
Río Gallegos,-51.62,-69.22,37.4,59,40,10.29,AR,1599103098
Berlevåg,70.86,29.09,51.64,79,100,14.85,NO,1599103174
College,64.86,-147.8,57.2,58,75,4.7,US,1599103120
Ponta do Sol,32.67,-17.1,71.6,73,40,6.93,PT,1599102923
Lukulu,-14.37,23.24,65.44,41,57,8.93,ZM,1599103298
Lebu,-37.62,-73.65,46.35,82,98,5.91,CL,1599103221
Puerto Escondido,15.85,-97.07,80.6,77,30,4.99,MX,1599103298
Ilulissat,69.22,-51.1,37.4,86,100,3.36,GL,1599103122
Mehamn,71.04,27.85,50.0,81,100,8.05,NO,1599103299
Mount Gambier,-37.83,140.77,59.0,58,75,24.16,AU,1599103124
Quang Ngai,15.12,108.8,91.67,54,53,0.38,VN,1599103248
Cascais,38.7,-9.42,69.01,57,0,7.76,PT,1599103299
Bikaner,28.02,73.3,88.38,55,46,7.58,IN,1599103299
Coquimbo,-29.95,-71.34,51.8,81,36,2.24,CL,1599103117
Mogadishu,2.04,45.34,75.99,80,69,14.0,SO,1599103300
Te Anau,-45.42,167.72,54.81,60,69,3.53,NZ,1599103180
Yagodnoye,62.55,149.67,49.21,57,100,2.68,RU,1599103300
Castro,-24.79,-50.01,56.98,97,18,5.59,BR,1599102852
Dawei,14.08,98.2,86.0,68,82,3.47,MM,1599103301
Mahébourg,-20.41,57.7,68.0,100,75,6.93,MU,1599103121
Kiama,-34.68,150.87,87.01,28,17,8.99,AU,1599103301
George Town,5.41,100.34,86.0,74,20,6.93,MY,1599102974
Inta,66.03,60.17,43.65,82,76,17.6,RU,1599103302
Babstovo,48.12,132.48,64.31,97,100,9.98,RU,1599103302
Chicama,-7.84,-79.15,59.34,82,15,4.59,PE,1599103302
Tomé,-36.62,-72.95,50.0,81,75,4.7,CL,1599103302
Belaya Gora,68.53,146.42,46.72,60,59,13.85,RU,1599103303
Sabha,27.04,14.43,82.81,15,0,14.67,LY,1599103303
Viedma,-40.81,-63.0,45.28,67,33,14.14,AR,1599103303
Vadsø,70.07,29.75,51.8,76,100,4.7,NO,1599103303
Namatanai,-3.67,152.43,86.54,63,14,1.97,PG,1599103304
Pevek,69.7,170.31,37.18,81,99,11.59,RU,1599103153
Ferrol,43.48,-8.24,55.4,100,90,4.7,ES,1599103304
Jumla,29.27,82.18,70.48,58,57,2.44,NP,1599103244
Rāvar,31.27,56.81,70.43,22,0,4.34,IR,1599103214
Severodvinsk,64.56,39.83,39.2,100,100,2.24,RU,1599103305
Safi,32.3,-9.24,67.39,90,2,8.16,MA,1599103305
Flagstaff,35.2,-111.65,69.8,19,1,3.36,US,1599103103
Sitka,57.05,-135.33,53.6,93,90,3.36,US,1599103124
Murray Bridge,-35.12,139.27,60.01,65,97,18.37,AU,1599103111
Bayan,46.08,127.4,68.0,99,100,19.28,CN,1599103306
Ayan,56.45,138.17,53.85,87,78,4.07,RU,1599103135
Panabá,21.28,-88.27,78.13,93,56,8.08,MX,1599103306
Saskylakh,71.92,114.08,51.87,64,100,9.84,RU,1599103118
Kavieng,-2.57,150.8,85.01,64,90,3.62,PG,1599102974
Sisimiut,66.94,-53.67,41.92,73,58,4.83,GL,1599103307
Nerang,-27.98,153.33,78.01,54,42,5.99,AU,1599103307
Carballo,43.21,-8.69,63.0,100,90,4.7,ES,1599103307
Tete,-16.16,33.59,69.8,68,40,5.82,MZ,1599103307
Acapulco de Juárez,16.86,-99.89,82.4,78,20,3.36,MX,1599103194
Lima,-12.04,-77.03,59.0,87,90,13.87,PE,1599103308
Oranjemund,-28.55,16.43,52.36,59,0,7.05,NA,1599103308
Ahmadpur East,29.14,71.26,88.07,60,1,5.26,PK,1599103308
Mana,5.66,-53.78,78.85,84,28,10.92,GF,1599103131
Itoman,26.12,127.67,87.8,75,75,6.93,JP,1599103215
Aasiaat,68.71,-52.87,30.81,98,85,4.34,GL,1599103309
Pundaguitan,6.37,126.17,84.04,72,100,2.28,PH,1599103309
Isangel,-19.55,169.27,77.0,57,75,16.11,VU,1599103168
Srednekolymsk,67.45,153.68,46.85,56,55,9.37,RU,1599103188
Upernavik,72.79,-56.15,38.12,77,85,4.27,GL,1599103113
Praia,14.92,-23.51,78.8,83,75,18.34,CV,1599103310
Garoowe,8.41,48.48,73.96,71,1,18.72,SO,1599103310
Ugoofaaru,5.67,73.0,81.48,81,100,16.67,MV,1599103310
Leningradskiy,69.38,178.42,36.45,82,84,5.3,RU,1599103213
Vanderhoof,54.02,-124.02,54.54,64,100,3.71,CA,1599103311
Cidreira,-30.18,-50.21,62.01,93,1,12.77,BR,1599103173
Gornopravdinsk,60.05,69.9,45.32,86,95,11.61,RU,1599103311
Deer Lake,49.17,-57.43,53.6,81,75,12.75,CA,1599103311
Broome,42.25,-75.83,71.01,94,75,6.93,US,1599103311
Ürümqi,43.8,87.6,82.4,26,39,4.47,CN,1599103312
Galveston,29.37,-94.97,88.0,66,20,18.34,US,1599103013
Los Llanos de Aridane,28.66,-17.92,69.8,83,1,8.05,ES,1599103200
Torbay,47.67,-52.73,54.0,71,90,12.75,CA,1599103189
Hobyo,5.35,48.53,76.01,82,100,18.66,SO,1599102952
Havøysund,71.0,24.66,53.6,71,100,13.87,NO,1599103312
Uglovka,58.24,33.51,54.18,82,100,9.71,RU,1599103313
Atambua,-9.11,124.89,86.5,45,20,4.79,ID,1599103165
Iralaya,15.0,-83.23,80.74,79,98,3.76,HN,1599103088
San Quintín,30.48,-115.95,68.47,84,5,11.21,MX,1599103195
Coyhaique,-45.58,-72.07,41.0,80,90,3.36,CL,1599103134
Iskateley,67.68,53.15,43.63,86,98,8.9,RU,1599103191
Darhan,49.49,105.92,65.82,62,84,9.93,MN,1599103314
Carutapera,-1.2,-46.02,76.82,87,76,6.06,BR,1599103160
Jaguariaíva,-24.25,-49.71,64.0,99,12,4.0,BR,1599103314
Talaya,61.38,152.75,49.44,48,100,8.01,RU,1599103315
Poum,-20.23,164.02,70.97,61,9,10.65,NC,1599103271
Katobu,-4.94,122.53,87.57,57,31,8.75,ID,1599103316
Anking,30.51,117.05,88.11,44,0,1.36,CN,1599103316
Alofi,-19.06,-169.92,82.4,74,75,12.75,NU,1599103228
Tabou,4.42,-7.35,75.25,88,90,8.79,CI,1599103316
Óbidos,-1.92,-55.52,80.64,61,0,4.25,BR,1599103316
Pont-Rouge,46.76,-71.7,60.01,100,75,4.7,CA,1599103107
Lichtenburg,-26.15,26.16,49.78,90,31,19.01,ZA,1599103317
Green River,41.53,-109.47,69.8,15,1,17.22,US,1599103317
Lakselv,70.05,24.97,51.8,87,99,10.29,NO,1599103317
Stonewall,50.13,-97.33,53.6,100,90,18.34,CA,1599103318
Bambous Virieux,-20.34,57.76,68.0,100,75,6.93,MU,1599103123
Dikson,73.51,80.55,41.41,83,4,10.13,RU,1599103112
Sambava,-14.27,50.17,65.7,82,50,8.21,MG,1599103228
Ochakiv,46.61,31.55,66.2,63,100,4.47,UA,1599103318
Guangyuan,32.44,105.82,82.0,48,11,1.01,CN,1599103319
Najrān,17.49,44.13,77.0,38,76,3.36,SA,1599103319
Antropovo,58.4,43.01,44.49,93,1,3.15,RU,1599103319
Elizabeth City,36.29,-76.25,84.2,94,1,10.29,US,1599103319
Carauari,-4.88,-66.9,77.16,79,92,1.77,BR,1599103163
Westport,41.14,-73.36,75.2,94,90,6.93,US,1599103320
Russellville,35.28,-93.13,73.0,100,75,2.28,US,1599103320
Butler,39.45,-84.57,73.0,94,1,1.72,US,1599103320
Vanino,49.09,140.25,74.39,71,81,5.79,RU,1599103320
Khor,47.89,134.95,69.67,90,100,11.83,RU,1599103221
Leh,34.17,77.58,60.06,43,7,6.38,IN,1599103321
San Patricio,19.22,-104.7,78.73,83,2,5.3,MX,1599103142
Hamilton,39.18,-84.53,75.0,94,1,1.79,US,1599103232
Buchanan,5.88,-10.05,75.2,94,40,10.07,LR,1599103192
Neuquén,-38.95,-68.06,50.0,57,18,4.7,AR,1599103321
Strakonice,49.26,13.9,44.01,94,88,3.74,CZ,1599103322
Petropavlovka,50.61,105.32,66.78,51,66,5.53,RU,1599103322
Chase,50.82,-119.69,61.0,71,46,1.61,CA,1599103323
Sayyan,15.17,44.32,62.92,61,52,2.51,YE,1599103323
Fare,-16.7,-151.02,78.55,77,49,19.71,PF,1599103146
Coahuayana Viejo,18.73,-103.68,75.2,83,75,1.3,MX,1599103323
Ancud,-41.87,-73.82,46.99,94,100,6.49,CL,1599103147
Picota,-6.92,-76.33,70.74,89,81,0.83,PE,1599103324
Tarko-Sale,64.92,77.78,46.0,79,99,12.77,RU,1599103324
Bereket,39.24,55.52,76.71,26,0,1.32,TM,1599103324
Yeppoon,-23.13,150.73,77.0,38,75,9.17,AU,1599103324
Saint-Pierre,-21.34,55.48,66.99,77,40,6.93,RE,1599103179
Tura,25.52,90.22,81.9,80,84,4.52,IN,1599103325
Krasnyy Yar,46.53,48.35,71.6,40,2,8.95,RU,1599103325
Cilegon,-6.02,106.05,86.0,62,100,4.7,ID,1599103325
Seydi,39.48,62.91,78.66,18,0,8.05,TM,1599103325
Taywarah,33.35,64.42,49.39,46,0,7.14,AF,1599103326
Kahului,20.89,-156.47,86.0,48,40,21.92,US,1599103182
Belen,36.49,36.22,69.8,100,0,1.12,TR,1599103326
Ilebo,-4.32,20.58,73.09,86,100,1.05,CD,1599103326
Zlobin,45.29,14.65,66.2,52,0,9.17,HR,1599103327
Guerrero Negro,27.98,-114.06,73.36,74,0,14.85,MX,1599103123
Korsholm,63.11,21.68,50.0,93,32,3.36,FI,1599103327
Gizo Government Station,-8.1,156.84,84.25,74,9,10.45,SB,1599103327
Funadhoo,6.15,73.27,80.85,83,100,16.44,MV,1599103327
Shimoda,34.67,138.95,87.8,79,75,14.99,JP,1599103172
Akdepe,42.06,59.38,68.0,42,0,6.93,TM,1599103328
Mossamedes,-15.2,12.15,61.23,88,0,2.62,AO,1599103145
Dakar,14.69,-17.44,78.8,94,20,9.57,SN,1599103077
Dandong,40.13,124.39,66.45,88,100,17.63,CN,1599103185
Cheremshan,54.67,51.5,46.54,79,0,6.02,RU,1599103328
East Stroudsburg,41.0,-75.18,73.99,1,78,4.88,US,1599103329
Adrar,20.5,-10.07,85.53,45,100,10.71,MR,1599103132
Meulaboh,4.14,96.13,80.96,72,100,3.67,ID,1599103115
Necochea,-38.55,-58.74,46.0,97,100,2.08,AR,1599103158
Cap-aux-Meules,47.38,-61.86,60.8,77,5,19.46,CA,1599103329
Zeya,53.75,127.27,66.02,60,100,4.45,RU,1599103149
Provideniya,64.38,-173.3,50.0,57,75,8.95,RU,1599103214
Tshikapa,-6.42,20.8,75.78,72,71,1.95,CD,1599103330
Presidencia Roque Sáenz Peña,-26.79,-60.44,47.5,92,0,2.68,AR,1599103330
Dahra,36.25,0.85,71.6,56,20,5.82,DZ,1599103330
Kachug,53.96,105.88,60.48,73,90,2.06,RU,1599103330
Khislavichi,54.19,32.16,58.5,84,100,12.15,RU,1599103331
Zastron,-30.3,27.08,48.45,85,55,10.87,ZA,1599103331
Laguna,38.42,-121.42,75.0,53,1,8.05,US,1599103152
Husavik,66.04,-17.34,42.8,87,90,14.99,IS,1599103128
Kruisfontein,-34.0,24.73,59.0,40,0,7.47,ZA,1599103120
Aklavik,68.22,-135.01,50.0,93,75,2.89,CA,1599102842
Ukiah,39.15,-123.21,75.2,53,1,3.42,US,1599103043
Ust-Maya,60.42,134.53,65.44,55,61,3.89,RU,1599103332
Lüderitz,-26.65,15.16,52.77,56,0,6.04,NA,1599102925
Hasaki,35.73,140.83,91.4,94,75,18.34,JP,1599103122
De-Kastri,51.47,140.78,72.88,69,43,5.77,RU,1599103332
Burnie,-41.07,145.92,55.0,83,25,13.0,AU,1599103333
Sandwick,60.0,-1.25,55.4,93,99,12.75,GB,1599103333
Tezu,27.92,96.17,84.65,65,73,1.72,IN,1599103242
Flin Flon,54.77,-101.86,45.57,67,31,9.01,CA,1599103334
Maumere,-8.62,122.21,84.6,60,53,2.39,ID,1599103334
Omaruru,-21.43,15.93,53.92,34,0,3.2,NA,1599103334
Troitsko-Pechorsk,62.71,56.2,42.33,78,0,9.75,RU,1599103334
Batemans Bay,-35.72,150.18,81.0,52,91,11.01,AU,1599103334
Saint-Donat-de-Montcalm,46.32,-74.22,68.0,86,14,5.64,CA,1599103335
Kimbe,-5.55,150.14,85.51,74,24,1.41,PG,1599103184
Aitape,-3.14,142.35,87.6,60,43,7.63,PG,1599103335
Kachīry,53.07,76.1,66.15,64,30,15.99,KZ,1599103335
Province of Trapani,37.83,12.67,71.6,88,20,2.24,IT,1599103336
Warrnambool,-38.38,142.48,54.39,78,100,28.05,AU,1599103331
Nabire,-3.37,135.48,85.55,61,100,4.34,ID,1599103225
Altus,34.64,-99.33,69.8,88,1,2.82,US,1599103336
Vardø,70.37,31.11,51.8,76,98,4.7,NO,1599103236
Spilimbergo,46.11,12.9,60.01,86,11,5.3,IT,1599103336
Fort Wayne,41.13,-85.13,68.0,93,90,6.93,US,1599103337
Elko,41.0,-115.5,79.0,22,1,3.36,US,1599103240
Klaksvík,62.23,-6.59,51.8,100,52,13.87,FO,1599103180
Nueva Gerona,21.88,-82.8,85.12,77,100,11.86,CU,1599103337
Ulaanbaatar,47.91,106.88,60.8,55,75,2.24,MN,1599103200
Bengkulu,-3.8,102.27,84.09,72,98,9.06,ID,1599103159
Hualmay,-11.1,-77.61,59.0,85,26,9.01,PE,1599102945
Santa Cruz de La Palma,28.68,-17.76,69.8,83,4,8.05,ES,1599103338
Valley City,46.92,-98.0,60.8,100,75,12.75,US,1599103312
Olafsvik,64.89,-23.71,46.18,76,100,30.91,IS,1599103338
Abaza,52.66,90.09,70.74,49,27,3.09,RU,1599103339
Scarborough,54.28,-0.4,61.0,93,92,4.0,GB,1599103339
Kalmunai,7.42,81.82,83.52,70,48,2.55,LK,1599103133
Paamiut,61.99,-49.67,44.04,61,33,4.63,GL,1599103129
Prado,-17.34,-39.22,69.98,86,37,9.89,BR,1599103339
Benguela,-12.58,13.41,67.69,85,85,1.41,AO,1599103339
Belmonte,-15.86,-38.88,73.4,69,40,9.17,BR,1599103340
Northam,51.03,-4.22,64.0,91,99,7.0,GB,1599103226
Neyshabur,36.21,58.8,66.33,26,0,1.25,IR,1599103340
Malbork,54.04,19.03,55.4,87,75,5.82,PL,1599103341
San Juan del Sur,11.25,-85.87,78.1,86,14,5.7,NI,1599103341
Biloela,-24.42,150.5,77.9,37,8,10.69,AU,1599103341
Hoima,1.44,31.34,62.42,96,13,0.49,UG,1599103341
Östersund,63.18,14.64,46.4,93,2,12.75,SE,1599103121
Uttaradit,17.67,100.5,87.8,74,20,1.12,TH,1599103342
Slave Lake,55.28,-114.77,50.0,87,20,3.36,CA,1599103342
Yartsevo,55.07,32.7,55.8,87,100,8.5,RU,1599103342
Karratha,-20.74,116.85,87.19,15,0,12.15,AU,1599103113
Morón,-34.65,-58.62,50.0,93,90,16.11,AR,1599103343
Batagay-Alyta,67.8,130.41,54.36,52,8,7.67,RU,1599103343
Moose Factory,51.26,-80.61,55.4,93,1,9.17,CA,1599103343
Marsaxlokk,35.84,14.54,77.0,78,20,6.93,MT,1599103343
Two Rivers,44.15,-87.57,61.0,82,1,7.0,US,1599103344
Marsá Maţrūḩ,31.35,27.25,76.75,84,0,7.78,EG,1599103344
